# Rime user dictionary
#@/db_name	custom_dict
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	176129
#@/user_id	5c7bd513-b581-4b5c-b06b-c0a120567e25
a 	呵	c=1 d=1 t=83579
da tong 	打通	c=2 d=1 t=171577
da tou 	大頭	c=6 d=1 t=147422
da tou 	打頭	c=1 d=1 t=12470
da tou bing 	大頭兵	c=1 d=1 t=35479
da tou gui 	大頭鬼	c=1 d=1 t=60794
da wan 	打完	c=3 d=1 t=86428
da wan bao 	打完包	c=1 d=1 t=7665
da wang 	大王	c=2 d=1 t=125416
da wen ti 	大問題	c=11 d=1 t=175163
da wen ti le 	大問題了	c=1 d=1 t=107341
da wo 	大我	c=1 d=1 t=100225
da wo 	打我	c=2 d=1 t=128878
da xi gua 	大西瓜	c=1 d=1 t=8983
da xi tong 	大系統	c=1 d=1 t=42945
da xia 	大蝦	c=3 d=1 t=141109
da xiao 	大小	c=1 d=1 t=162823
da xie 	大寫	c=1 d=1 t=162808
da xue 	大學	c=3 d=1 t=134452
da xue sheng 	大學生	c=1 d=1 t=32866
da yan 	打眼	c=1 d=1 t=24126
da ye 	大爺	c=1 d=1 t=110339
da yi 	大姨	c=0 d=0.1 t=147296
da yi ge 	打一個	c=1 d=1 t=171582
da yin 	打印	c=20 d=1 t=156745
da ying 	答應	c=4 d=1 t=124409
da you xi 	打遊戲	c=18 d=0.00349997 t=176129
da yu 	大於	c=1 d=0.000223746 t=176129
da yu 	大雨	c=1 d=1 t=175319
da yue 	大悅	c=1 d=1 t=105673
da za 	打雜	c=1 d=1 t=153128
da zhe 	打折	c=3 d=0.00334597 t=176129
da zhen 	大震	c=2 d=1.03976 t=168784
da zhen 	打針	c=2 d=1.93239 t=82671
da zhi 	大致	c=2 d=3.10631e-11 t=176129
da zhi er 	大侄兒	c=1 d=1 t=170190
da zhong wu 	打中午	c=1 d=1 t=151636
da zhuan 	大專	c=5 d=2.8097 t=32926
da zi 	打字	c=6 d=1.96561 t=138011
da zui 	大嘴	c=0 d=0.1 t=71665
da zui 	打嘴	c=1 d=1 t=99225
da zui hou 	大嘴侯	c=1 d=1 t=71666
dai 	代	c=3 d=0.732786 t=176129
dai 	帶	c=60 d=1.25203 t=175598
dai 	待	c=46 d=1.72125 t=170227
dai 	戴	c=3 d=1 t=143818
dai 	袋	c=5 d=1 t=127143
dai 	貸	c=2 d=1 t=160215
dai 	逮	c=2 d=1 t=167979
dai ba 	待吧	c=4 d=1 t=166198
dai ban 	待办	c=80 d=1.34874 t=167012
dai bao bao 	帶寶寶	c=1 d=1 t=111309
dai biao 	代表	c=1 d=0.1 t=166281
dai bu 	逮捕	c=13 d=1.96374 t=67277
dai bu dai 	帶不帶	c=1 d=1 t=64661
dai bu shang 	帶不上	c=1 d=1 t=66727
dai chan 	待產	c=1 d=1.09324 t=171843
dai chan bao 	待產寶	c=1 d=1 t=171830
dai chu qu 	戴出去	c=1 d=1 t=170633
dai dai 	帶帶	c=7 d=0.000511796 t=176129
dai dai 	袋袋	c=1 d=1 t=74400
dai dai di di 	帶帶弟弟	c=1 d=1 t=8597
dai dai wo 	帶帶我	c=3 d=0.00514361 t=176129
dai de 	帶的	c=2 d=1 t=139555
dai dian 	帶點	c=5 d=1 t=149698
dai ding 	待定	c=5 d=1.90484 t=127979
dai ge 	帶個	c=6 d=1 t=118168
dai ge ren 	帶個人	c=1 d=1 t=46405
dai guo lai 	帶過來	c=3 d=1 t=65984
dai guo qu 	帶過去	c=2 d=1 t=119856
dai he cha 	待覈查	c=1 d=1 t=89339
dai hui fu 	待回覆	c=2 d=1.92312 t=39029
dai hui jia 	帶回家	c=1 d=1 t=146293
dai hui lai 	帶回來	c=5 d=1 t=129869
dai hui qu 	帶回去	c=10 d=1 t=167861
dai jie shou 	待接收	c=3 d=1 t=134739
dai ke 	待客	c=1 d=1 t=118951
dai kou zhao 	戴口罩	c=1 d=1 t=141944
dai kuai 	帶塊	c=1 d=1 t=116689
dai kuan 	帶寬	c=2 d=1 t=44266
dai kuan 	貸款	c=5 d=1 t=130202
dai lai 	帶來	c=1 d=1 t=78950
dai lao 	代勞	c=1 d=1 t=5494
dai li 	代理	c=3 d=3.46574e-05 t=176129
dai li 	袋裏	c=1 d=3.44845e-05 t=176129
dai ma 	代碼	c=225 d=0.32781 t=176129
dai mai 	带脉	c=3 d=1 t=152304
dai ni 	帶你	c=7 d=1 t=165551
dai ni men 	待你們	c=2 d=1.99501 t=25225
dai ni qu 	帶你去	c=1 d=1 t=141524
dai ru ku 	待入庫	c=4 d=1.956 t=174978
dai san 	帶傘	c=2 d=1 t=146752
dai shang 	帶上	c=8 d=1.96079 t=170196
dai shang 	戴上	c=1 d=1 t=107724
dai shang qu 	帶上去	c=4 d=1 t=158281
dai shen 	待審	c=1 d=0.1 t=165519
dai shen cha 	待審查	c=2 d=1 t=173721
dai shen pi 	待審批	c=1 d=1 t=50173
dai ta 	帶他	c=2 d=1 t=126352
dai ta 	帶她	c=1 d=1 t=68605
dai ta men 	待他們	c=1 d=1 t=92315
dai tou 	帶頭	c=2 d=0.192774 t=75529
dai tou da ge 	帶頭大哥	c=1 d=1 t=75530
dai wa zi 	帶娃子	c=1 d=1 t=70414
dai wo 	帶我	c=7 d=1 t=140800
dai wo 	待我	c=1 d=1 t=40472
dai wo men 	帶我們	c=1 d=1 t=35784
dai wo qu 	帶我去	c=5 d=1 t=31286
dai xia 	帶下	c=2 d=1 t=116710
dai xie 	代謝	c=2 d=1 t=165377
dai yi 	带一	c=0 d=0.1 t=138730
dai yi ge 	待一個	c=1 d=1 t=97106
dai yi jian 	带一件	c=1 d=1 t=70434
dai yi jiao 	带一腳	c=1 d=1 t=138731
dai yi tian 	待一天	c=1 d=1 t=21239
dai yi tiao 	帶一條	c=1 d=1 t=70432
dai yi xia 	帶一下	c=1 d=1 t=37444
dai yu 	待遇	c=1 d=1 t=25843
dai zai 	待在	c=0 d=2.68657e-10 t=176129
dai zhe 	帶着	c=5 d=1 t=135017
dai zhe 	待着	c=1 d=1 t=15744
dai zi 	帶子	c=1 d=0.1 t=82718
dai zi 	袋子	c=3 d=1 t=169256
dan 	丹	c=1 d=1 t=45513
dan 	但	c=1 d=1 t=58105
dan 	單	c=7 d=1 t=142547
dan 	淡	c=2 d=1 t=73728
dan 	蛋	c=1 d=1 t=82776
dan bai 	蛋白	c=2 d=1 t=160181
dan bai zhi 	蛋白質	c=1 d=1 t=160184
dan chao fan 	蛋炒飯	c=2 d=1 t=104310
dan cheng 	單程	c=1 d=1 t=85320
dan chun 	單純	c=3 d=1.05004 t=64390
dan du 	單獨	c=17 d=0.000201444 t=176129
dan du fa 	單獨發	c=1 d=1 t=79624
dan du kai 	單獨開	c=1 d=1 t=51157
dan gao 	蛋糕	c=13 d=9.49258e-06 t=176129
dan gao dian 	蛋糕店	c=1 d=1 t=21821
dan ge 	耽擱	c=1 d=1 t=96378
dan hao 	單號	c=1 d=1 t=41921
dan huang 	蛋黃	c=3 d=1.95123 t=160172
dan ji 	單擊	c=1 d=1.98512e-08 t=176129
dan jian 	單件	c=2 d=1.77162e-09 t=176129
dan jiang 	丹江	c=16 d=1.98511 t=169909
dan nai 	淡奶	c=1 d=1 t=82518
dan niao 	丹鳥	c=1 d=1 t=24503
dan ren 	單人	c=2 d=1 t=172658
dan shi 	但是	c=309 d=0.847945 t=176129
dan shi hou 	但是後	c=2 d=1 t=114038
dan shi you 	但是有	c=1 d=1 t=38121
dan shou 	單手	c=1 d=1 t=113253
dan ta 	蛋撻	c=1 d=1 t=160431
dan ti 	單體	c=1 d=1 t=17105
dan tiao 	單條	c=1 d=1 t=103962
dan wei 	單位	c=89 d=1.24132 t=167512
dan wo 	但我	c=1 d=1 t=69619
dan wu 	耽誤	c=5 d=1 t=118586
dan xiang 	單向	c=1 d=1 t=88547
dan xin 	擔心	c=5 d=1.0002 t=174729
dan yuan 	單元	c=1 d=1 t=100076
dan yuan lou 	单元楼	c=1 d=1 t=51339
dan zhi 	膽汁	c=3 d=2.90268 t=151014
dan zi 	單子	c=5 d=1 t=162448
dang 	檔	c=2 d=1 t=136198
dang 	當	c=36 d=0.336746 t=176129
dang 	黨	c=1 d=1 t=32057
dang chu 	當初	c=5 d=1 t=152466
dang ci 	檔次	c=2 d=1 t=98991
dang di 	當地	c=1 d=1 t=16944
dang die 	當爹	c=1 d=1 t=114806
dang ge 	當個	c=4 d=1 t=118781
dang ge ren 	當個人	c=1 d=1 t=32163
dang jia 	當家	c=0 d=0.1 t=76703
dang mian 	當面	c=2 d=1 t=159308
dang ni 	當你	c=1 d=1 t=8632
dang nian 	當年	c=1 d=1 t=40631
dang qian 	當前	c=32 d=3.64396 t=148674
dang ren 	當人	c=5 d=2.21012 t=73696
dang ri 	當日	c=1 d=1 t=7982
dang shang 	當上	c=1 d=1 t=123614
dang shi 	當時	c=30 d=1.12953e-06 t=176129
dang shi de 	當時的	c=2 d=1 t=164686
dang tian 	當天	c=8 d=1 t=165866
dang wen ti 	當問題	c=1 d=1 t=147888
dang yuan 	黨員	c=1 d=1 t=124782
dang yue 	當月	c=3 d=1 t=123888
dang yue fa 	當月發	c=1 d=1 t=80880
dang zhe 	擋着	c=1 d=1 t=16992
dang zhe 	當着	c=2 d=0.00326335 t=176129
dang zhu 	擋住	c=1 d=1 t=87528
dang zuo 	當作	c=1 d=1 t=19345
dao 	倒	c=8 d=1.64726 t=170575
dao 	刀	c=3 d=1 t=156536
dao 	到	c=444 d=0.23365 t=176129
dao 	導	c=8 d=1 t=168722
dao 	稻	c=0 d=0.1 t=76713
dao 	道	c=4 d=3.44131e-10 t=176129
dao bao 	導包	c=3 d=1 t=115168
dao bi 	倒閉	c=10 d=1 t=108511
dao bu 	倒不	c=1 d=1 t=124256
dao chu 	到處	c=4 d=2.86814 t=155634
dao chu 	導出	c=31 d=1.30597 t=174936
dao chu lai 	倒出來	c=1 d=1 t=144183
dao chu lai 	導出來	c=1 d=1 t=69628
dao chu qu 	導出去	c=1 d=1 t=15320
dao chu wan 	導出完	c=1 d=1 t=167813
dao di 	到底	c=3 d=1 t=93923
dao dian 	到點	c=6 d=1 t=169548
dao fu 	到付	c=1 d=1 t=93848
dao gong si 	到公司	c=1 d=1 t=19861
dao gua 	倒掛	c=1 d=1 t=32375
dao guo 	到過	c=0 d=0.1 t=55821
dao guo lai 	倒過來	c=1 d=1 t=140074
dao hang 	導航	c=6 d=1.55156 t=119237
dao hang lan 	導航欄	c=1 d=1 t=10448
dao hang zhou 	到杭州	c=2 d=1 t=116380
dao hua xiang 	稻花香	c=1 d=1 t=76714
dao huo 	到貨	c=5 d=1 t=138398
dao ji shi 	倒計時	c=1 d=1 t=50985
dao jia 	到家	c=10 d=1 t=134848
dao ju 	道具	c=2 d=1.956 t=133825
dao lang 	刀郎	c=1 d=1 t=11617
dao le 	到了	c=1 d=1 t=110435
dao mai 	倒賣	c=1 d=1 t=69718
dao mei 	倒沒	c=1 d=1 t=21243
dao men 	道門	c=1 d=1 t=121278
dao na er 	到哪兒	c=5 d=1 t=136942
dao na er le 	到哪兒了	c=3 d=1 t=127020
dao ni 	到你	c=1 d=1 t=105579
dao nian di 	到年底	c=1 d=1 t=49547
dao pian 	刀片	c=1 d=1 t=126815
dao qi 	到期	c=13 d=1.41979e-06 t=176129
dao qian 	道歉	c=1 d=0.1 t=60624
dao ru 	導入	c=5 d=2.82898 t=121339
dao shi 	倒是	c=7 d=1.00011 t=163025
dao shi 	到時	c=1 d=1 t=19095
dao shi hou 	到時候	c=53 d=1.00036 t=172800
dao shou ji 	到手機	c=1 d=1 t=83006
dao shu 	倒數	c=1 d=1 t=77495
dao shu ju 	到數據	c=1 d=1 t=121310
dao shu ju 	導數據	c=1 d=1 t=121311
dao tou 	倒頭	c=1 d=1 t=53332
dao tou 	到頭	c=3 d=1 t=33267
dao tu 	導圖	c=2 d=2.38196e-05 t=176129
dao wei 	倒位	c=2 d=1 t=31571
dao wo men 	到我們	c=1 d=1 t=121261
dao xian zai 	到現在	c=5 d=1 t=123304
dao xiang 	導向	c=1 d=0.0259911 t=176129
dao xu 	倒序	c=6 d=1 t=134738
dao yi yuan 	到醫院	c=1 d=1 t=105341
dao zhang 	到帳	c=9 d=7.80734e-07 t=176129
dao zhen 	导诊	c=1 d=0.640641 t=105515
dao zhen tai 	导诊臺	c=1 d=1 t=105516
dao zhi 	導致	c=43 d=1.86911 t=174690
dao zhi de 	導致的	c=2 d=1.00204 t=109373
dao zi 	刀子	c=1 d=1 t=74445
dao zui hou 	到最後	c=1 d=1 t=34868
de 	得	c=15 d=1 t=168071
de 	徳	c=3 d=1 t=149770
de 	的	c=8030 d=7.78679 t=176129
de a 	的啊	c=1 d=1 t=32961
de dao 	得到	c=4 d=0.000341814 t=176129
de hen 	得很	c=1 d=0.1 t=20807
de jin 	得勁	c=1 d=1 t=22626
de lai wen 	徳莱文	c=2 d=1.96561 t=30353
de ni 	德尼	c=1 d=1 t=83527
deng 	燈	c=8 d=1 t=131687
deng 	等	c=117 d=8.35588e-05 t=176129
deng 	鄧	c=1 d=1 t=9286
deng dao 	登到	c=1 d=1 t=22383
deng dao 	等到	c=3 d=1 t=128032
deng deng 	噔噔	c=1 d=1 t=43356
deng deng 	等等	c=5 d=1 t=149681
deng ge 	等個	c=2 d=1 t=97392
deng guang 	燈光	c=1 d=1 t=116333
deng hu 	燈虎	c=0 d=0.1 t=134055
deng hu ei ren 	燈虎誒人	c=1 d=0.227454 t=134468
deng hui 	燈會	c=2 d=0.092089 t=176129
deng hui 	等會	c=19 d=0.0925506 t=176129
deng hui er 	等会儿	c=128 d=0.57695 t=176129
deng ji 	登記	c=4 d=1 t=133099
deng ji 	等級	c=11 d=1 t=93481
deng jie kou 	等接口	c=2 d=1 t=76248
deng ku 	等庫	c=1 d=1 t=91094
deng li 	等理	c=1 d=1 t=32080
deng lu 	登錄	c=49 d=0.0434998 t=176129
deng lu ren 	登錄人	c=5 d=1.12003 t=116117
deng lu xia 	登錄下	c=1 d=1 t=172802
deng ming tian 	等明天	c=1 d=1 t=111499
deng ni 	等你	c=14 d=7.26644e-09 t=176129
deng ni men 	等你們	c=1 d=1 t=166963
deng nuan he 	等暖和	c=1 d=1 t=149876
deng qian duan 	等前端	c=1 d=1 t=106455
deng ta 	等他	c=4 d=1 t=103815
deng ta men 	等他們	c=2 d=1 t=118588
deng wo 	等我	c=60 d=0.336587 t=176129
deng wo men 	等我們	c=1 d=1 t=74742
deng xia 	燈下	c=1 d=0.0792617 t=176129
deng xia 	等下	c=35 d=0.079659 t=176129
deng xia ban 	等下班	c=1 d=1 t=42892
deng xiao kang 	等曉康	c=1 d=1 t=62372
deng yi hui er 	等一會兒	c=3 d=1 t=150615
deng yu 	等於	c=3 d=1 t=143991
deng zhe 	等着	c=9 d=0.298197 t=176129
deng zhe ba 	等着吧	c=1 d=1 t=173987
deng zhe ni 	等着呢	c=2 d=1 t=97589
deng zi 	凳子	c=1 d=1 t=6787
di 	低	c=25 d=1 t=168057
di 	地	c=3 d=1 t=138816
di 	底	c=3 d=1 t=146226
di 	抵	c=1 d=1 t=157715
di 	滴	c=3 d=0.1 t=129487
di 	第	c=3 d=1 t=112169
di chu lai 	滴出來	c=2 d=1.96561 t=127621
di dang 	低檔	c=3 d=2.8606 t=104116
di di 	弟弟	c=16 d=1.94176 t=167225
di di 	滴滴	c=8 d=1 t=170731
di di di 	滴滴滴	c=1 d=1 t=129488
di di men 	弟弟門	c=1 d=1 t=33475
di er 	第二	c=1 d=0.127253 t=60729
di er bi 	第二筆	c=1 d=1 t=14975
di er ci 	第二次	c=1 d=1 t=160620
di er dang 	第二檔	c=1 d=1 t=60470
di er dian 	第二點	c=1 d=1 t=127780
di er ge 	第二個	c=4 d=1 t=167821
di er ge ren 	第二個人	c=1 d=1 t=60730
di er shi tiao 	第二十條	c=1 d=1 t=139875
di er tian 	第二天	c=6 d=1.00087 t=145188
di fang 	地方	c=56 d=1 t=164348
di fo 	笛佛	c=1 d=0.0689068 t=176129
di gui 	遞歸	c=1 d=1 t=39234
di ji 	第幾	c=0 d=0.1 t=4895
di ji tian 	第幾天	c=8 d=1 t=18561
di jia 	迪迦	c=1 d=1 t=5631
di ka er 	笛卡爾	c=2 d=1.956 t=38972
di ka er ji 	笛卡儿积	c=7 d=5.52516 t=39196
di kou 	抵扣	c=1 d=1 t=170328
di liao 	底料	c=1 d=1 t=118514
di mian shang 	地面上	c=2 d=1.99005 t=72443
di ping xian 	地平線	c=1 d=1 t=97213
di qi 	底氣	c=1 d=1 t=120447
di qi 	第七	c=1 d=1 t=90032
di qi tian 	第七天	c=1 d=1 t=18533
di qu 	地區	c=1 d=1 t=85856
di que 	的確	c=21 d=1 t=166398
di que shi 	的確是	c=1 d=1 t=19525
di san 	第三	c=2 d=1 t=139417
di san ci 	第三次	c=1 d=1 t=51527
di san dai 	第三代	c=0 d=0.1 t=43079
di san fang 	第三方	c=3 d=1 t=66659
di san tian 	第三天	c=1 d=1 t=24652
di shang 	地上	c=2 d=1 t=107110
di shao 	低燒	c=1 d=1 t=113261
di shui 	滴水	c=1 d=1 t=31100
di si 	第四	c=3 d=1 t=168261
di si tian 	第四天	c=1 d=1 t=25522
di tie 	地鐵	c=30 d=0.00033379 t=176129
di tie kou 	地鐵口	c=1 d=1 t=32035
di tie zhan 	地鐵站	c=1 d=1 t=21795
di tu 	地圖	c=19 d=0.0526021 t=176129
di tu shang 	地圖上	c=1 d=1 t=137611
di xia 	低下	c=2 d=1 t=94494
di xia 	地下	c=1 d=1 t=33170
di xue tang 	低血糖	c=2 d=1.93707 t=171994
di yi 	第一	c=7 d=1 t=174264
di yi bei 	第一盃	c=1 d=1 t=19269
di yi bi 	第一筆	c=1 d=1 t=14964
di yi ci 	第一次	c=12 d=1 t=75203
di yi ge 	第一個	c=20 d=0.261846 t=176129
di yi hang 	第一行	c=1 d=1 t=44417
di yi ji 	第一級	c=1 d=1 t=92158
di yi jia 	第一家	c=1 d=1 t=28703
di yi nian 	第一年	c=4 d=2.09454 t=125644
di yi tian 	第一天	c=5 d=1.97192 t=138560
di yi tiao 	第一條	c=2 d=1 t=61340
di yi ye 	第一頁	c=1 d=1 t=166423
di yi zhang 	第一張	c=1 d=1 t=117685
di yu 	低於	c=2 d=1 t=17562
di yu 	地域	c=0 d=0.1 t=85217
di yu shu xing 	地域屬性	c=1 d=1 t=85218
di zhen 	地震	c=2 d=1.0115 t=169038
di zhi 	地址	c=69 d=1.36841 t=176129
di zhi lan 	地址欄	c=1 d=1 t=17667
di zhu 	地主	c=0 d=0.1 t=87780
di zhu lao cai 	地主老財	c=1 d=1 t=87781
dia ma 	嗲嘛	c=1 d=1 t=103975
dia yong 	嗲用	c=3 d=1 t=94917
dian 	墊	c=5 d=1 t=175524
dian 	店	c=32 d=6.51063e-11 t=176129
dian 	電	c=7 d=1 t=169703
dian 	顛	c=0 d=0.1 t=92881
dian 	點	c=593 d=0.281077 t=176129
dian an o 	點按哦	c=2 d=1 t=53577
dian ao 	點拗	c=1 d=1 t=38288
dian ba 	點吧	c=3 d=1 t=75807
dian ban 	點半	c=36 d=1.36097 t=169661
dian bei 	點盃	c=7 d=1.15032 t=91509
dian bu jin qu 	點不進去	c=1 d=1 t=70839
dian cai 	點菜	c=1 d=1 t=90199
dian che 	電車	c=4 d=1 t=135677
dian chi 	電池	c=11 d=2.5891 t=174895
dian cuo 	點錯	c=1 d=1 t=108951
dian dang 	典當	c=1 d=1 t=36732
dian de 	點的	c=1 d=1 t=120923
dian dian 	點點	c=3 d=1 t=73621
dian dong che 	電動車	c=2 d=1 t=34087
dian duo 	掂掇	c=3 d=2.07685e-10 t=176129
dian duo 	點多	c=1 d=1 t=106662
dian fei 	電費	c=1 d=1 t=103851
dian feng shan 	電風扇	c=1 d=1 t=48199
dian ge 	點個	c=26 d=1.00255 t=167304
dian ge zan 	點個讚	c=1 d=1 t=71681
dian guo 	點過	c=2 d=1 t=147584
dian hao 	點好	c=4 d=1 t=133970
dian hua 	電話	c=50 d=0.00115359 t=176129
dian hua hao ma 	電話號碼	c=1 d=1 t=80063
dian huo er 	點活兒	c=1 d=1 t=62036
dian ji 	惦記	c=1 d=0.00416933 t=176129
dian ji 	點擊	c=6 d=1.00007 t=175648
dian jin 	點金	c=1 d=1 t=11704
dian jin qu 	點進去	c=9 d=1 t=149087
dian kai 	點開	c=1 d=1 t=118921
dian la 	點辣	c=1 d=1 t=94903
dian li 	店裏	c=3 d=1 t=127991
dian li 	電力	c=1 d=1 t=25340
dian liang 	電量	c=1 d=1 t=78462
dian lv 	電驢	c=4 d=1 t=53322
dian nao 	電腦	c=117 d=0.128848 t=176129
dian nao shang 	電腦上	c=3 d=0.00113627 t=176129
dian ping 	電瓶	c=2 d=1.91851 t=133575
dian pu 	店鋪	c=2 d=1 t=118032
dian qi 	電器	c=1 d=1 t=96258
dian qi lai 	點起來	c=2 d=1 t=79500
dian qian 	點錢	c=1 d=1 t=72503
dian re tan 	電熱毯	c=6 d=1 t=149861
dian shang 	電商	c=5 d=2.01098 t=10362
dian shen me 	點什麼	c=1 d=1 t=75852
dian shi 	電視	c=2 d=1 t=70854
dian shi ju 	電視劇	c=1 d=1 t=18180
dian shi qing 	點事情	c=1 d=1 t=143059
dian ti 	電梯	c=5 d=1 t=118629
dian tou 	點頭	c=1 d=1 t=51574
dian wai 	點外	c=1 d=1 t=19973
dian wai ma 	點外嘛	c=4 d=1 t=87997
dian wai mai 	點外賣	c=66 d=0.0324161 t=176129
dian wai mai le 	點外賣了	c=1 d=1 t=123374
dian wang 	電網	c=1 d=1 t=5649
dian wo 	點我	c=1 d=1 t=83396
dian xia 	墊下	c=1 d=1 t=132680
dian xia 	點下	c=1 d=1 t=172855
dian xin 	電信	c=3 d=2.562 t=53787
dian xin 	點心	c=1 d=1 t=105948
dian yi dian 	墊一墊	c=1 d=1 t=138519
dian ying 	電影	c=11 d=1 t=161327
dian ying piao 	電影票	c=1 d=1 t=88133
dian yuan 	店員	c=2 d=1 t=67553
dian yuan 	電源	c=1 d=1 t=29142
dian yuan xian 	電源線	c=1 d=1 t=78482
dian zan 	👍	c=1 d=1 t=109775
dian zhe ge 	點這個	c=1 d=0.000198445 t=176129
dian zhong 	點鐘	c=1 d=1 t=128916
dian zi 	墊子	c=1 d=1 t=9752
dian zi 	電子	c=7 d=1 t=118915
dian zuan 	電鑽	c=1 d=1 t=54700
diao 	吊	c=2 d=1.16696 t=32645
diao 	掉	c=26 d=1.28938 t=157384
diao 	調	c=8 d=1.00002 t=110160
diao cha 	調查	c=1 d=1 t=130273
diao diao 	調調	c=1 d=1 t=19069
diao du 	調度	c=6 d=1.198 t=167016
diao ge 	掉個	c=0 d=0.1 t=132279
diao guo 	調過	c=1 d=1 t=90836
diao shi 	雕飾	c=2 d=1 t=124680
diao wo 	調我	c=1 d=1 t=44869
diao xian 	掉線	c=2 d=1.88692 t=8331
diao yan 	調研	c=4 d=1.18274 t=20678
diao yong 	掉用	c=2 d=1.74082 t=81265
diao yong 	調用	c=83 d=0.128388 t=176129
diao yong de 	調用的	c=1 d=1 t=102993
diao yong na ge 	調用那個	c=1 d=1 t=108643
diao zhe ge 	掉這個	c=1 d=1 t=54184
die 	爹	c=145 d=0.310348 t=176129
die 	跌	c=4 d=1 t=174963
die dai 	迭代	c=5 d=0.0243554 t=176129
die dou xiang 	爹都想	c=1 d=1 t=8854
die jia 	疊加	c=3 d=1 t=133771
die jiu shi 	爹就是	c=1 d=1 t=24763
die na er 	爹哪兒	c=1 d=1 t=135985
die shou li 	爹手裏	c=1 d=1 t=26916
die tie 	爹貼	c=1 d=1 t=38818
die wo 	爹我	c=1 d=1 t=124399
die ye shi 	爹也是	c=1 d=1 t=10842
ding 	丁	c=3 d=1 t=174554
ding 	定	c=47 d=1 t=174352
ding 	訂	c=3 d=0.00166989 t=176129
ding 	釘	c=16 d=1 t=159766
ding 	頂	c=6 d=1 t=156538
ding a 	頂啊	c=1 d=1 t=101708
ding bu zhu 	頂不住	c=12 d=1 t=163200
ding bu zhu le 	頂不住了	c=1 d=1 t=75556
ding dan 	訂單	c=76 d=0.0163823 t=176129
ding dan biao 	訂單表	c=1 d=1.6371e-05 t=176129
ding dan hao 	訂單號	c=8 d=1.00048 t=80756
ding ding 	釘釘	c=41 d=1.10574e-06 t=176129
ding duo 	頂多	c=1 d=0.1 t=116504
ding ji 	頂級	c=1 d=1 t=103547
ding jin 	訂金	c=1 d=1 t=54518
ding ju 	定局	c=1 d=1 t=164256
ding ju 	定居	c=1 d=1 t=164257
ding qi 	定期	c=3 d=1 t=162877
ding shi 	定時	c=6 d=1 t=55523
ding tian 	頂天	c=1 d=1 t=103765
ding wei 	定位	c=4 d=1.96079 t=64554
ding xia 	定下	c=1 d=1 t=97508
ding xia lai 	定下來	c=3 d=1 t=130749
ding yi 	定義	c=8 d=1 t=155824
ding yi xia 	定一下	c=1 d=1 t=130391
ding yi xia 	釘一下	c=1 d=1 t=120995
ding yue 	訂閱	c=7 d=0.1 t=138396
ding zhe 	盯着	c=3 d=0.995834 t=123979
ding zhe 	頂着	c=1 d=1 t=86993
ding zhe dian 	盯着點	c=1 d=1 t=8604
ding zhe ni 	盯着你	c=1 d=1 t=123980
ding zhi 	定製	c=3 d=1 t=101030
diu 	丟	c=10 d=0.0473589 t=176129
diu chu qu 	丟出去	c=1 d=1 t=84056
diu diao 	丟掉	c=2 d=1 t=168413
diu diu 	丟丟	c=0 d=0.1 t=35347
diu ge 	丟個	c=2 d=1 t=143751
diu jian 	丟件	c=2 d=1.86936 t=24525
diu ren 	丟人	c=1 d=1 t=46585
diu xia 	丟下	c=1 d=1 t=20176
dong 	凍	c=4 d=1 t=140814
dong 	動	c=19 d=1 t=168777
dong 	懂	c=12 d=1 t=132183
dong 	東	c=0 d=0.1 t=146015
dong 	棟	c=8 d=1.00072 t=141476
dong bei 	東北	c=2 d=1 t=175844
dong bei cai 	東北菜	c=1 d=1 t=142329
dong che 	動車	c=1 d=1 t=64483
dong chi bian dang 	東池便當	c=1 d=1 t=146016
dong er 	東兒	c=0 d=6.84211e-08 t=176129
dong er men 	東兒門	c=2 d=6.8764e-07 t=176129
dong fang 	東方	c=2 d=0.00235786 t=176129
dong feng 	東風	c=2 d=1 t=147527
dong li 	動力	c=1 d=1 t=19459
dong ma 	懂嗎	c=1 d=1 t=36184
dong sheng 	東昇	c=4 d=3.50008 t=30456
dong shou 	凍手	c=1 d=1 t=127878
dong shou 	動手	c=1 d=1 t=92871
dong tai 	動態	c=14 d=2.90722 t=154386
dong tian 	东田	c=1 d=1 t=39550
dong tian 	冬天	c=13 d=1 t=127540
dong tian tian 	冬天天	c=1 d=1 t=88410
dong tou 	洞頭	c=1 d=1 t=68519
dong wu 	動物	c=1 d=1 t=148050
dong xi 	東西	c=118 d=0.155243 t=176129
dong xi ma 	東西嘛	c=1 d=1 t=116454
dong xia 	動下	c=1 d=1 t=116168
dong zhan 	東站	c=1 d=1 t=26461
dong zhi 	冬至	c=1 d=1 t=67964
dong zhu 	凍住	c=1 d=1 t=137473
dong zuo 	動作	c=1 d=1 t=77968
dou 	兜	c=0 d=0.1 t=149844
dou 	豆	c=2 d=1 t=28980
dou 	逗	c=0 d=0.1 t=47319
dou 	都	c=732 d=2.03663 t=176129
dou ai 	都愛	c=1 d=1 t=86418
dou an zhuang 	都安裝	c=1 d=1 t=29529
dou bei 	都被	c=3 d=1 t=73520
dou bi 	都比	c=1 d=1 t=29245
dou bi xu 	都必須	c=0 d=0.1 t=18857
dou bi xu na ge 	都必須那個	c=1 d=1 t=18858
dou bu 	都不	c=17 d=0.393202 t=176129
dou bu chi 	都不喫	c=2 d=1 t=139500
